Year,Month,Breed,Total
2021,April,AIREDALE TERR,145
2021,August,AIREDALE TERR,144
2021,December,AIREDALE TERR,142
2021,July,AIREDALE TERR,142
2021,June,AIREDALE TERR,143
2021,March,AIREDALE TERR,145
2021,May,AIREDALE TERR,145
2021,November,AIREDALE TERR,144
2021,October,AIREDALE TERR,144
2021,September,AIREDALE TERR,143
2022,January,AIREDALE TERR,141
2022,July,AIREDALE TERR,135
2022,November,AIREDALE TERR,139
2022,October,AIREDALE TERR,140
2023,February,AIREDALE TERR,134
2021,April,AKITA,187
2021,August,AKITA,196
2021,December,AKITA,193
2021,July,AKITA,192
2021,March,AKITA,191
2021,May,AKITA,191
2021,November,AKITA,192
2021,October,AKITA,194
2021,September,AKITA,191
2022,December,AKITA,202
2022,January,AKITA,201
2022,July,AKITA,192
2022,March,AKITA,195
2022,November,AKITA,201
2022,October,AKITA,197
2022,September,AKITA,197
2023,February,AKITA,200
2023,January,AKITA,205
2021,April,ALASK MALAMUTE,294
2021,August,ALASK MALAMUTE,297
2021,December,ALASK MALAMUTE,292
2021,July,ALASK MALAMUTE,292
2021,June,ALASK MALAMUTE,288
2021,March,ALASK MALAMUTE,294
2021,May,ALASK MALAMUTE,294
2021,November,ALASK MALAMUTE,289
2021,October,ALASK MALAMUTE,290
2021,September,ALASK MALAMUTE,290
2022,August,ALASK MALAMUTE,285
2022,December,ALASK MALAMUTE,277
2022,January,ALASK MALAMUTE,289
2022,July,ALASK MALAMUTE,286
2022,June,ALASK MALAMUTE,289
2022,March,ALASK MALAMUTE,288
2022,November,ALASK MALAMUTE,286
2022,October,ALASK MALAMUTE,283
2022,September,ALASK MALAMUTE,289
2021,July,ALASKAN HUSKY,700
2021,June,ALASKAN HUSKY,711
2021,March,ALASKAN HUSKY,699
2021,May,ALASKAN HUSKY,699
2021,November,ALASKAN HUSKY,691
2021,October,ALASKAN HUSKY,695
2021,September,ALASKAN HUSKY,694
2022,August,ALASKAN HUSKY,722
2022,December,ALASKAN HUSKY,714
2022,January,ALASKAN HUSKY,704
2022,July,ALASKAN HUSKY,717
2022,June,ALASKAN HUSKY,711
2022,March,ALASKAN HUSKY,715
2022,November,ALASKAN HUSKY,715
2022,October,ALASKAN HUSKY,719
2022,September,ALASKAN HUSKY,727
2023,February,ALASKAN HUSKY,720
2023,January,ALASKAN HUSKY,715
2021,April,AM PIT BULL TER,511
2021,August,AM PIT BULL TER,515
2021,December,AM PIT BULL TER,484
2021,July,AM PIT BULL TER,524
2021,June,AM PIT BULL TER,515
2022,December,AM PIT BULL TER,456
2022,January,AM PIT BULL TER,480
2022,July,AM PIT BULL TER,456
2022,June,AM PIT BULL TER,461
2022,March,AM PIT BULL TER,472
2022,November,AM PIT BULL TER,456
2022,October,AM PIT BULL TER,457
2022,September,AM PIT BULL TER,460
2023,February,AM PIT BULL TER,467
2023,January,AM PIT BULL TER,462
2021,April,AMER BULLDOG,196
2021,August,AMER BULLDOG,207
2021,December,AMER BULLDOG,200
2021,June,AMER BULLDOG,208
2021,March,AMER BULLDOG,203
2021,May,AMER BULLDOG,203
2021,November,AMER BULLDOG,200
2021,September,AMER BULLDOG,210
2022,August,AMER BULLDOG,216
2022,December,AMER BULLDOG,215
2022,July,AMER BULLDOG,219
2022,June,AMER BULLDOG,224
2022,March,AMER BULLDOG,216
2022,November,AMER BULLDOG,214
2022,October,AMER BULLDOG,214
2022,September,AMER BULLDOG,213
2023,February,AMER BULLDOG,221
2023,January,AMER BULLDOG,217
2021,April,AMER ESKIMO,268
2021,August,AMER ESKIMO,259
2021,December,AMER ESKIMO,252
2021,June,AMER ESKIMO,269
2021,March,AMER ESKIMO,267
2021,May,AMER ESKIMO,267
2021,October,AMER ESKIMO,257
2021,September,AMER ESKIMO,258
2022,December,AMER ESKIMO,223
2022,January,AMER ESKIMO,243
2022,June,AMER ESKIMO,246
2022,March,AMER ESKIMO,238
2022,November,AMER ESKIMO,224
2022,October,AMER ESKIMO,233
2022,September,AMER ESKIMO,240
2023,February,AMER ESKIMO,219
2023,January,AMER ESKIMO,221
2021,April,AMERICAN STAFF,328
2021,August,AMERICAN STAFF,312
2021,July,AMERICAN STAFF,311
2021,June,AMERICAN STAFF,328
2021,May,AMERICAN STAFF,334
2021,November,AMERICAN STAFF,308
2021,October,AMERICAN STAFF,308
2021,September,AMERICAN STAFF,313
2022,August,AMERICAN STAFF,313
2022,January,AMERICAN STAFF,303
2022,July,AMERICAN STAFF,315
2022,March,AMERICAN STAFF,307
2022,November,AMERICAN STAFF,311
2022,October,AMERICAN STAFF,312
2022,September,AMERICAN STAFF,316
2023,February,AMERICAN STAFF,306
2023,January,AMERICAN STAFF,307
2021,April,AUST CATTLE DOG,1065
2021,August,AUST CATTLE DOG,1101
2021,December,AUST CATTLE DOG,1090
2021,July,AUST CATTLE DOG,1090
2021,June,AUST CATTLE DOG,1077
2021,March,AUST CATTLE DOG,1077
2021,May,AUST CATTLE DOG,1077
2021,November,AUST CATTLE DOG,1090
2021,October,AUST CATTLE DOG,1091
2021,September,AUST CATTLE DOG,1095
2022,August,AUST CATTLE DOG,1066
2022,December,AUST CATTLE DOG,1060
2022,January,AUST CATTLE DOG,1111
2022,July,AUST CATTLE DOG,1082
2022,June,AUST CATTLE DOG,1098
2022,March,AUST CATTLE DOG,1087
2022,September,AUST CATTLE DOG,1067
2022,August,AUST KELPIE,162
2022,December,AUST KELPIE,163
2022,January,AUST KELPIE,165
2022,July,AUST KELPIE,162
2022,June,AUST KELPIE,158
2022,March,AUST KELPIE,161
2022,November,AUST KELPIE,161
2022,October,AUST KELPIE,164
2022,September,AUST KELPIE,165
2023,February,AUST KELPIE,162
2023,January,AUST KELPIE,162
2021,April,AUST SHEPHERD,2232
2021,August,AUST SHEPHERD,2287
2021,December,AUST SHEPHERD,2327
2021,July,AUST SHEPHERD,2288
2021,June,AUST SHEPHERD,2285
2021,March,AUST SHEPHERD,2256
2021,May,AUST SHEPHERD,2256
2021,November,AUST SHEPHERD,2315
2021,October,AUST SHEPHERD,2298
2021,September,AUST SHEPHERD,2292
2022,August,AUST SHEPHERD,2454
2022,December,AUST SHEPHERD,2450
2022,January,AUST SHEPHERD,2375
2022,July,AUST SHEPHERD,2441
2022,June,AUST SHEPHERD,2433
2022,March,AUST SHEPHERD,2380
2022,November,AUST SHEPHERD,2479
2022,October,AUST SHEPHERD,2466
2022,September,AUST SHEPHERD,2452
2023,February,AUST SHEPHERD,2483
2023,January,AUST SHEPHERD,2478
2021,April,BASSET HOUND,236
2021,August,BASSET HOUND,237
2021,December,BASSET HOUND,224
2021,July,BASSET HOUND,242
2021,June,BASSET HOUND,246
2021,March,BASSET HOUND,244
2021,May,BASSET HOUND,244
2021,November,BASSET HOUND,225
2021,October,BASSET HOUND,231
2021,September,BASSET HOUND,235
2022,August,BASSET HOUND,216
2022,December,BASSET HOUND,209
2022,January,BASSET HOUND,224
2022,July,BASSET HOUND,217
2022,June,BASSET HOUND,219
2022,March,BASSET HOUND,225
2022,November,BASSET HOUND,211
2022,October,BASSET HOUND,210
2022,September,BASSET HOUND,211
2023,February,BASSET HOUND,214
2023,January,BASSET HOUND,214
2021,April,BEAGLE,1141
2021,December,BEAGLE,1059
2021,June,BEAGLE,1130
2021,March,BEAGLE,1148
2021,May,BEAGLE,1148
2021,November,BEAGLE,1075
2021,October,BEAGLE,1089
2021,September,BEAGLE,1099
2022,December,BEAGLE,1036
2022,January,BEAGLE,1055
2022,June,BEAGLE,1055
2022,March,BEAGLE,1040
2022,November,BEAGLE,1046
2022,October,BEAGLE,1045
2022,September,BEAGLE,1048
2021,April,BELG MALINOIS,132
2021,August,BELG MALINOIS,149
2021,December,BELG MALINOIS,146
2021,July,BELG MALINOIS,150
2021,June,BELG MALINOIS,148
2021,March,BELG MALINOIS,140
2021,May,BELG MALINOIS,140
2021,November,BELG MALINOIS,145
2021,October,BELG MALINOIS,143
2021,September,BELG MALINOIS,148
2022,August,BELG MALINOIS,142
2022,December,BELG MALINOIS,148
2022,January,BELG MALINOIS,144
2022,July,BELG MALINOIS,142
2022,June,BELG MALINOIS,141
2022,March,BELG MALINOIS,141
2022,November,BELG MALINOIS,150
2022,October,BELG MALINOIS,152
2022,September,BELG MALINOIS,147
2023,February,BELG MALINOIS,151
2023,January,BELG MALINOIS,152
2021,April,BERNESE MTN DOG,1389
2021,August,BERNESE MTN DOG,1426
2021,December,BERNESE MTN DOG,1446
2021,July,BERNESE MTN DOG,1422
2021,June,BERNESE MTN DOG,1410
2021,March,BERNESE MTN DOG,1398
2021,May,BERNESE MTN DOG,1398
2021,November,BERNESE MTN DOG,1450
2021,October,BERNESE MTN DOG,1441
2021,September,BERNESE MTN DOG,1431
2022,August,BERNESE MTN DOG,1467
2022,December,BERNESE MTN DOG,1511
2022,January,BERNESE MTN DOG,1457
2022,July,BERNESE MTN DOG,1452
2022,June,BERNESE MTN DOG,1452
2022,March,BERNESE MTN DOG,1451
2022,November,BERNESE MTN DOG,1507
2022,October,BERNESE MTN DOG,1490
2022,September,BERNESE MTN DOG,1482
2023,February,BERNESE MTN DOG,1546
2023,January,BERNESE MTN DOG,1527
2021,April,BICHON FRISE,3014
2021,August,BICHON FRISE,2858
2021,December,BICHON FRISE,2653
2021,July,BICHON FRISE,2916
2021,June,BICHON FRISE,2953
2021,March,BICHON FRISE,2994
2021,May,BICHON FRISE,2994
2021,November,BICHON FRISE,2705
2021,October,BICHON FRISE,2751
2021,September,BICHON FRISE,2814
2022,August,BICHON FRISE,2350
2022,December,BICHON FRISE,2200
2022,January,BICHON FRISE,2619
2022,July,BICHON FRISE,2394
2022,June,BICHON FRISE,2405
2022,March,BICHON FRISE,2511
2022,November,BICHON FRISE,2246
2022,October,BICHON FRISE,2288
2022,September,BICHON FRISE,2319
2023,February,BICHON FRISE,2105
2023,January,BICHON FRISE,2148
2021,April,BORDER COLLIE,3711
2021,August,BORDER COLLIE,3745
2021,December,BORDER COLLIE,3615
2021,July,BORDER COLLIE,3754
2021,June,BORDER COLLIE,3731
2021,March,BORDER COLLIE,3744
2021,May,BORDER COLLIE,3744
2021,November,BORDER COLLIE,3655
2021,October,BORDER COLLIE,3662
2021,September,BORDER COLLIE,3703
2022,August,BORDER COLLIE,3538
2022,December,BORDER COLLIE,3457
2022,January,BORDER COLLIE,3610
2022,July,BORDER COLLIE,3542
2022,June,BORDER COLLIE,3556
2022,March,BORDER COLLIE,3582
2022,November,BORDER COLLIE,3507
2022,October,BORDER COLLIE,3500
2022,September,BORDER COLLIE,3521
2023,February,BORDER COLLIE,3441
2023,January,BORDER COLLIE,3443
2021,April,BORDER TERRIER,167
2021,August,BORDER TERRIER,162
2021,December,BORDER TERRIER,157
2021,July,BORDER TERRIER,161
2021,June,BORDER TERRIER,161
2021,March,BORDER TERRIER,165
2021,May,BORDER TERRIER,165
2021,November,BORDER TERRIER,162
2021,October,BORDER TERRIER,159
2021,September,BORDER TERRIER,161
2022,August,BORDER TERRIER,159
2022,December,BORDER TERRIER,161
2022,January,BORDER TERRIER,158
2022,July,BORDER TERRIER,159
2022,June,BORDER TERRIER,161
2022,March,BORDER TERRIER,157
2022,November,BORDER TERRIER,160
2022,October,BORDER TERRIER,161
2022,September,BORDER TERRIER,159
2023,February,BORDER TERRIER,161
2023,January,BORDER TERRIER,162
2021,April,BOSTON TERRIER,1214
2021,August,BOSTON TERRIER,1168
2021,December,BOSTON TERRIER,1105
2021,July,BOSTON TERRIER,1184
2021,June,BOSTON TERRIER,1203
2021,March,BOSTON TERRIER,1213
2021,May,BOSTON TERRIER,1213
2021,November,BOSTON TERRIER,1127
2021,October,BOSTON TERRIER,1137
2021,September,BOSTON TERRIER,1157
2022,August,BOSTON TERRIER,1059
2022,December,BOSTON TERRIER,1047
2022,January,BOSTON TERRIER,1094
2022,July,BOSTON TERRIER,1064
2022,June,BOSTON TERRIER,1078
2022,March,BOSTON TERRIER,1084
2022,November,BOSTON TERRIER,1052
2022,October,BOSTON TERRIER,1060
2022,September,BOSTON TERRIER,1056
2023,February,BOSTON TERRIER,1028
2023,January,BOSTON TERRIER,1046
2021,April,BOUV FLANDRES,123
2021,August,BOUV FLANDRES,119
2021,December,BOUV FLANDRES,125
2021,July,BOUV FLANDRES,119
2021,June,BOUV FLANDRES,123
2021,March,BOUV FLANDRES,127
2021,May,BOUV FLANDRES,127
2021,November,BOUV FLANDRES,122
2021,October,BOUV FLANDRES,123
2021,September,BOUV FLANDRES,123
2022,August,BOUV FLANDRES,116
2022,December,BOUV FLANDRES,114
2022,January,BOUV FLANDRES,123
2022,July,BOUV FLANDRES,117
2022,June,BOUV FLANDRES,117
2022,March,BOUV FLANDRES,117
2022,November,BOUV FLANDRES,116
2022,October,BOUV FLANDRES,119
2022,September,BOUV FLANDRES,117
2023,February,BOUV FLANDRES,108
2023,January,BOUV FLANDRES,111
2022,August,BOXER,884
2022,December,BOXER,874
2022,January,BOXER,915
2022,July,BOXER,899
2022,June,BOXER,897
2022,March,BOXER,905
2022,November,BOXER,874
2022,October,BOXER,885
2022,September,BOXER,881
2023,February,BOXER,862
2023,January,BOXER,863
2021,April,BRITTANY,228
2021,August,BRITTANY,234
2021,December,BRITTANY,235
2021,July,BRITTANY,232
2021,June,BRITTANY,230
2021,March,BRITTANY,226
2021,May,BRITTANY,226
2021,November,BRITTANY,236
2021,October,BRITTANY,237
2021,September,BRITTANY,235
2022,August,BRITTANY,249
2022,December,BRITTANY,239
2022,January,BRITTANY,234
2022,July,BRITTANY,244
2022,June,BRITTANY,243
2022,March,BRITTANY,238
2022,November,BRITTANY,241
2022,October,BRITTANY,244
2022,September,BRITTANY,248
2023,February,BRITTANY,239
2023,January,BRITTANY,239
2021,April,BRUSS GRIFFON,137
2021,August,BRUSS GRIFFON,137
2021,December,BRUSS GRIFFON,127
2021,July,BRUSS GRIFFON,139
2021,June,BRUSS GRIFFON,139
2021,March,BRUSS GRIFFON,137
2021,May,BRUSS GRIFFON,137
2021,November,BRUSS GRIFFON,130
2021,October,BRUSS GRIFFON,132
2021,September,BRUSS GRIFFON,134
2022,August,BRUSS GRIFFON,122
2022,December,BRUSS GRIFFON,120
2022,January,BRUSS GRIFFON,129
2022,July,BRUSS GRIFFON,120
2022,June,BRUSS GRIFFON,123
2022,March,BRUSS GRIFFON,130
2022,November,BRUSS GRIFFON,123
2022,October,BRUSS GRIFFON,121
2022,September,BRUSS GRIFFON,122
2023,February,BRUSS GRIFFON,120
2023,January,BRUSS GRIFFON,121
2021,April,BULLDOG,233
2021,August,BULLDOG,213
2021,December,BULLDOG,201
2021,July,BULLDOG,222
2021,June,BULLDOG,227
2021,March,BULLDOG,230
2021,May,BULLDOG,230
2021,November,BULLDOG,211
2021,October,BULLDOG,211
2021,September,BULLDOG,212
2022,August,BULLDOG,190
2022,December,BULLDOG,185
2022,January,BULLDOG,205
2022,July,BULLDOG,187
2022,June,BULLDOG,191
2022,March,BULLDOG,199
2022,November,BULLDOG,185
2022,October,BULLDOG,185
2022,September,BULLDOG,186
2023,February,BULLDOG,176
2023,January,BULLDOG,182
2021,April,BULLMASTIFF,197
2021,August,BULLMASTIFF,198
2021,December,BULLMASTIFF,185
2021,July,BULLMASTIFF,195
2021,June,BULLMASTIFF,194
2021,March,BULLMASTIFF,196
2021,May,BULLMASTIFF,196
2021,November,BULLMASTIFF,191
2021,October,BULLMASTIFF,191
2021,September,BULLMASTIFF,193
2022,August,BULLMASTIFF,172
2022,December,BULLMASTIFF,171
2022,January,BULLMASTIFF,183
2022,July,BULLMASTIFF,171
2022,June,BULLMASTIFF,174
2022,March,BULLMASTIFF,186
2022,November,BULLMASTIFF,169
2022,October,BULLMASTIFF,170
2022,September,BULLMASTIFF,168
2023,February,BULLMASTIFF,171
2023,January,BULLMASTIFF,166
2021,April,CAIRN TERRIER,297
2021,August,CAIRN TERRIER,294
2021,December,CAIRN TERRIER,276
2021,July,CAIRN TERRIER,298
2021,June,CAIRN TERRIER,292
2021,March,CAIRN TERRIER,294
2021,May,CAIRN TERRIER,294
2021,November,CAIRN TERRIER,280
2021,October,CAIRN TERRIER,286
2021,September,CAIRN TERRIER,287
2022,August,CAIRN TERRIER,254
2022,December,CAIRN TERRIER,243
2022,January,CAIRN TERRIER,270
2022,July,CAIRN TERRIER,255
2022,June,CAIRN TERRIER,258
2022,March,CAIRN TERRIER,261
2022,November,CAIRN TERRIER,246
2022,October,CAIRN TERRIER,250
2022,September,CAIRN TERRIER,249
2023,February,CAIRN TERRIER,240
2023,January,CAIRN TERRIER,240
2021,April,CANE CORSO,278
2021,August,CANE CORSO,261
2021,December,CANE CORSO,258
2021,July,CANE CORSO,262
2021,June,CANE CORSO,267
2021,March,CANE CORSO,280
2021,May,CANE CORSO,280
2021,November,CANE CORSO,264
2021,October,CANE CORSO,258
2021,September,CANE CORSO,259
2022,August,CANE CORSO,280
2022,December,CANE CORSO,281
2022,January,CANE CORSO,259
2022,July,CANE CORSO,283
2022,June,CANE CORSO,278
2022,March,CANE CORSO,258
2022,November,CANE CORSO,280
2022,October,CANE CORSO,276
2022,September,CANE CORSO,283
2023,February,CANE CORSO,290
2023,January,CANE CORSO,290
2021,April,CATAHOULA,161
2021,August,CATAHOULA,166
2021,December,CATAHOULA,162
2021,July,CATAHOULA,163
2021,June,CATAHOULA,157
2021,March,CATAHOULA,161
2021,May,CATAHOULA,161
2021,November,CATAHOULA,163
2021,October,CATAHOULA,164
2021,September,CATAHOULA,163
2022,August,CATAHOULA,160
2022,December,CATAHOULA,157
2022,January,CATAHOULA,159
2022,July,CATAHOULA,157
2022,June,CATAHOULA,154
2022,March,CATAHOULA,153
2022,November,CATAHOULA,158
2022,October,CATAHOULA,158
2022,September,CATAHOULA,162
2023,February,CATAHOULA,158
2023,January,CATAHOULA,158
2021,April,CAVALIER SPAN,1003
2021,August,CAVALIER SPAN,1026
2021,December,CAVALIER SPAN,1033
2021,July,CAVALIER SPAN,1018
2021,June,CAVALIER SPAN,1010
2021,March,CAVALIER SPAN,1012
2021,May,CAVALIER SPAN,1012
2021,November,CAVALIER SPAN,1034
2021,October,CAVALIER SPAN,1027
2021,September,CAVALIER SPAN,1028
2022,August,CAVALIER SPAN,1100
2022,December,CAVALIER SPAN,1102
2022,January,CAVALIER SPAN,1042
2022,July,CAVALIER SPAN,1074
2022,June,CAVALIER SPAN,1072
2022,March,CAVALIER SPAN,1051
2022,November,CAVALIER SPAN,1104
2022,October,CAVALIER SPAN,1112
2022,September,CAVALIER SPAN,1099
2023,February,CAVALIER SPAN,1140
2023,January,CAVALIER SPAN,1123
2021,April,CHIHUAHUA LH,808
2021,August,CHIHUAHUA LH,777
2021,December,CHIHUAHUA LH,781
2021,July,CHIHUAHUA LH,788
2021,June,CHIHUAHUA LH,799
2021,March,CHIHUAHUA LH,808
2021,May,CHIHUAHUA LH,808
2021,November,CHIHUAHUA LH,786
2021,October,CHIHUAHUA LH,785
2021,September,CHIHUAHUA LH,779
2022,August,CHIHUAHUA LH,752
2022,December,CHIHUAHUA LH,734
2022,January,CHIHUAHUA LH,788
2022,July,CHIHUAHUA LH,761
2022,June,CHIHUAHUA LH,770
2022,March,CHIHUAHUA LH,783
2022,November,CHIHUAHUA LH,732
2022,October,CHIHUAHUA LH,745
2022,September,CHIHUAHUA LH,753
2023,February,CHIHUAHUA LH,728
2023,January,CHIHUAHUA LH,736
2021,April,CHIHUAHUA SH,3157
2021,August,CHIHUAHUA SH,3087
2021,December,CHIHUAHUA SH,2975
2021,July,CHIHUAHUA SH,3119
2021,June,CHIHUAHUA SH,3125
2021,March,CHIHUAHUA SH,3142
2021,May,CHIHUAHUA SH,3142
2021,November,CHIHUAHUA SH,3013
2021,October,CHIHUAHUA SH,3051
2021,September,CHIHUAHUA SH,3070
2022,August,CHIHUAHUA SH,2889
2022,December,CHIHUAHUA SH,2768
2022,January,CHIHUAHUA SH,2957
2022,July,CHIHUAHUA SH,2912
2022,June,CHIHUAHUA SH,2938
2022,March,CHIHUAHUA SH,2942
2022,November,CHIHUAHUA SH,2804
2022,October,CHIHUAHUA SH,2826
2022,September,CHIHUAHUA SH,2845
2023,February,CHIHUAHUA SH,2754
2023,January,CHIHUAHUA SH,2767
2021,April,CHINESE CRESTED,127
2021,August,CHINESE CRESTED,121
2021,December,CHINESE CRESTED,116
2021,July,CHINESE CRESTED,124
2021,June,CHINESE CRESTED,125
2021,March,CHINESE CRESTED,125
2021,May,CHINESE CRESTED,125
2021,November,CHINESE CRESTED,116
2021,October,CHINESE CRESTED,119
2021,September,CHINESE CRESTED,121
2022,August,CHINESE CRESTED,131
2022,December,CHINESE CRESTED,131
2022,July,CHINESE CRESTED,128
2022,June,CHINESE CRESTED,129
2022,March,CHINESE CRESTED,121
2022,November,CHINESE CRESTED,132
2022,October,CHINESE CRESTED,132
2022,September,CHINESE CRESTED,131
2023,February,CHINESE CRESTED,132
2023,January,CHINESE CRESTED,130
2021,April,CHINESE SHARPEI,154
2021,August,CHINESE SHARPEI,161
2021,December,CHINESE SHARPEI,145
2021,July,CHINESE SHARPEI,157
2021,June,CHINESE SHARPEI,156
2021,March,CHINESE SHARPEI,155
2021,May,CHINESE SHARPEI,155
2021,November,CHINESE SHARPEI,151
2021,October,CHINESE SHARPEI,149
2021,September,CHINESE SHARPEI,155
2022,August,CHINESE SHARPEI,147
2022,December,CHINESE SHARPEI,146
2022,January,CHINESE SHARPEI,149
2022,July,CHINESE SHARPEI,155
2022,June,CHINESE SHARPEI,155
2022,March,CHINESE SHARPEI,149
2022,November,CHINESE SHARPEI,150
2022,October,CHINESE SHARPEI,153
2022,September,CHINESE SHARPEI,148
2023,February,CHINESE SHARPEI,147
2023,January,CHINESE SHARPEI,145
2021,April,CHOW CHOW,174
2021,August,CHOW CHOW,168
2021,December,CHOW CHOW,170
2021,July,CHOW CHOW,177
2021,June,CHOW CHOW,176
2021,March,CHOW CHOW,178
2021,May,CHOW CHOW,178
2021,November,CHOW CHOW,170
2021,October,CHOW CHOW,170
2021,September,CHOW CHOW,170
2022,August,CHOW CHOW,163
2022,December,CHOW CHOW,162
2022,January,CHOW CHOW,168
2022,July,CHOW CHOW,161
2022,June,CHOW CHOW,160
2022,March,CHOW CHOW,170
2022,November,CHOW CHOW,165
2022,October,CHOW CHOW,163
2022,September,CHOW CHOW,164
2023,February,CHOW CHOW,155
2023,January,CHOW CHOW,162
2021,April,COCKER SPAN,2217
2021,August,COCKER SPAN,2220
2021,December,COCKER SPAN,2201
2021,July,COCKER SPAN,2227
2021,June,COCKER SPAN,2236
2021,March,COCKER SPAN,2228
2021,May,COCKER SPAN,2228
2021,November,COCKER SPAN,2200
2021,October,COCKER SPAN,2202
2021,September,COCKER SPAN,2217
2022,August,COCKER SPAN,2128
2022,December,COCKER SPAN,2083
2022,January,COCKER SPAN,2176
2022,July,COCKER SPAN,2145
2022,June,COCKER SPAN,2157
